[TAILING] Tailing last 500 lines for [all] processes (change the value with --lines option)
/home/glojas/.pm2/pm2.log last 500 lines:
PM2        | 2025-10-17T07:02:02: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:02:02: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:02:02: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:02:14: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:02:14: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:02:14: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:05:25: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:05:25: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:05:25: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:05:29: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:05:29: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:05:29: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:09:09: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:09:09: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:09:09: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:09:14: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:09:14: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:09:14: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:12:40: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:12:40: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:12:40: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:13:07: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:13:07: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:13:07: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:16:23: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:16:24: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:16:24: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:16:57: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:16:57: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:16:57: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:19:45: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:19:45: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:19:45: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:20:41: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:20:41: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:20:41: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:23:06: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:23:06: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:23:07: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:24:35: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:24:35: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:24:35: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:26:31: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:26:31: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:26:32: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:28:33: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:28:33: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:28:33: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:30:09: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:30:09: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:30:09: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:32:38: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:32:38: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:32:38: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:33:35: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
